@relation 'D:\\Datasets\\datasets 2015\\libsvm\\svmguide1.dat-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute class {0,1}

@data
{0 35.3345,1 114.0745,2 -0.161221,3 135.2493,4 1}
{0 182.6201,1 434.14,2 -0.285503,3 179.9231,4 1}
{0 47.53101,1 159.912,2 0.152989,3 138.7677,4 1}
{0 39.17899,1 159.468,2 -0.209765,3 120.4504,4 1}
{0 23.25403,1 209.735,2 0.123317,3 96.87343,4 1}
{0 18.477,1 181.036,2 0.24352,3 165.9428,4 1}
{0 28.5013,1 103.052,2 0.12831,3 144.7224,4 1}
{0 32.83201,1 63.92001,2 -0.211577,3 148.5072,4 1}
{0 15.9557,1 63.09971,2 0.343257,3 154.6377,4 1}
{0 22.63901,1 120.977,2 0.327121,3 125.8283,4 1}
{0 82.574,1 196.307,2 0.178376,3 165.3797,4 1}
{0 28.849,1 137.139,2 -0.234645,3 130.0691,4 1}
{0 245.6,1 428.0801,2 -0.164846,3 173.4026,4 1}
{0 22.5022,1 64.6707,2 -0.15091,3 112.7709,4 1}
{0 63.703,1 289.815,2 -0.162406,3 157.9748,4 1}
{0 18.2162,1 87.2622,2 -0.233914,3 70.6981,4 1}
{0 22.4788,1 61.16409,2 -0.084369,3 106.8931,4 1}
{0 156.66,1 423.75,2 -0.120414,3 157.3239,4 1}
{0 31.19998,1 226.781,2 -0.106904,3 128.7535,4 1}
{0 32.7101,1 233.7761,2 -0.063385,3 167.9945,4 1}
{0 89.42419,1 58.9772,2 0.200826,3 121.0245,4 1}
{0 41.31201,1 156.694,2 -0.181896,3 141.0913,4 1}
{0 31.838,1 291.045,2 0.223539,3 146.8867,4 1}
{0 112.055,1 323.6121,2 0.093747,3 134.6862,4 1}
{0 64.64301,1 335.479,2 0.126757,3 120.813,4 1}
{0 19.33699,1 158.935,2 0.120996,3 122.3044,4 1}
{0 97.6158,1 52.4688,2 0.198082,3 139.6027,4 1}
{0 21.0394,1 79.0063,2 -0.249301,3 125.1142,4 1}
{0 136.911,1 93.55,2 0.084984,3 139.6191,4 1}
{0 38.4443,1 136.8558,2 -0.093529,3 128.4129,4 1}
{0 19.36099,1 134.668,2 0.228131,3 86.48844,4 1}
{0 56.83099,1 212.218,2 -0.118615,3 126.8666,4 1}
{0 28.812,1 91.606,2 0.399522,3 139.9295,4 1}
{0 59.31302,1 183.086,2 -0.164077,3 146.1698,4 1}
{0 19.215,1 90.07098,2 0.183285,3 118.9041,4 1}
{0 19.54401,1 128.647,2 0.241338,3 123.0076,4 1}
{0 17.7691,1 70.4381,2 -0.230148,3 146.2357,4 1}
{0 24.89301,1 109.849,2 -0.153579,3 94.58274,4 1}
{0 18.045,1 68.7258,2 0.427849,3 121.9529,4 1}
{0 47.64404,1 216.571,2 0.111667,3 122.0352,4 1}
{0 29.47801,1 144.707,2 -0.184571,3 131.404,4 1}
{0 45.13898,1 193.736,2 0.169368,3 122.2028,4 1}
{0 50.5088,1 56.5448,2 -0.145951,3 138.9627,4 1}
{0 34.56801,1 145.2,2 0.186433,3 137.7844,4 1}
{0 40.28601,1 286.943,2 -0.145043,3 169.8567,4 1}
{0 26.01599,1 159.644,2 0.137508,3 103.8526,4 1}
{0 50.92603,1 255.777,2 -0.077481,3 142.1872,4 1}
{0 26.60101,1 71.294,2 -0.173685,3 92.16296,4 1}
{0 26.30698,1 204.143,2 0.299419,3 93.58572,4 1}
{0 35.13501,1 277.744,2 0.209995,3 152.9458,4 1}
{0 38.584,1 236.343,2 -0.260025,3 153.3962,4 1}
{0 60.09601,1 335.938,2 -0.133622,3 155.0634,4 1}
{0 21.5507,1 78.6256,2 -0.39905,3 167.7638,4 1}
{0 12.705,1 86.651,2 0.408896,3 149.7981,4 1}
{0 28.70502,1 176.09,2 0.196126,3 92.78645,4 1}
{0 28.392,1 120.951,2 -0.235542,3 93.7203,4 1}
{0 49.211,1 216.048,2 -0.18213,3 116.9485,4 1}
{0 32.28998,1 131.617,2 -0.167948,3 169.4118,4 1}
{0 31.85297,1 124.654,2 0.071741,3 95.35455,4 1}
{0 57.26602,1 210.766,2 0.112481,3 122.038,4 1}
{0 65.13495,1 208.9979,2 0.207788,3 142.819,4 1}
{0 21.19,1 92.241,2 0.303417,3 133.5244,4 1}
{0 46.33405,1 196.958,2 0.124469,3 127.4488,4 1}
{0 27.263,1 120.722,2 0.165785,3 172.0568,4 1}
{0 125.5466,1 29.0616,2 0.224348,3 153.171,4 1}
{0 25.257,1 108.599,2 0.339665,3 131.6512,4 1}
{0 17.9192,1 99.38161,2 0.245533,3 116.2151,4 1}
{0 56.22601,1 245.269,2 0.154952,3 157.0217,4 1}
{0 73.06104,1 192.014,2 -0.192157,3 147.219,4 1}
{0 28.70502,1 86.07501,2 -0.185508,3 89.95743,4 1}
{0 40.0534,1 132.3574,2 -0.248255,3 167.7418,4 1}
{0 33.73,1 147.798,2 -0.156902,3 137.1087,4 1}
{0 25.27699,1 165.228,2 0.093636,3 113.724,4 1}
{0 35.43698,1 168.356,2 0.090077,3 96.24719,4 1}
{0 39.06401,1 177.51,2 -0.066026,3 123.5431,4 1}
{0 26.8465,1 104.6587,2 -0.176536,3 115.4708,4 1}
{0 47.67902,1 198.491,2 0.071509,3 116.7398,4 1}
{0 28.91699,1 167.195,2 -0.113886,3 104.3442,4 1}
{0 43.15399,1 179.338,2 -0.097755,3 118.7283,4 1}
{0 83.42099,1 372.55,2 0.12487,3 155.7501,4 1}
{0 113.1899,1 160.37,2 0.128108,3 136.8945,4 1}
{0 32.57301,1 95.406,2 0.249866,3 179.7995,4 1}
{0 35.88501,1 165.431,2 0.050493,3 95.98901,4 1}
{0 105.2338,1 82.6118,2 0.1585,3 159.0762,4 1}
{0 33.06897,1 154.993,2 0.370773,3 157.2634,4 1}
{0 29.69904,1 166.063,2 0.121405,3 128.8496,4 1}
{0 48.90298,1 186.641,2 -0.18907,3 151.339,4 1}
{0 26.03481,1 61.6891,2 -0.101698,3 128.3223,4 1}
{0 33.08701,1 148.132,2 0.114549,3 141.0913,4 1}
{0 28.19501,1 90.43896,2 -0.173303,3 94.43168,4 1}
{0 21.8821,1 53.5227,2 -0.291454,3 103.4653,4 1}
{0 42.23102,1 165.488,2 0.258428,3 157.6315,4 1}
{0 22.8081,1 79.0705,2 -0.202419,3 112.5759,4 1}
{0 24.5172,1 156.1913,2 0.104317,3 114.471,4 1}
{0 18.3504,1 93.7039,2 -0.178815,3 112.8753,4 1}
{0 21.60699,1 133.448,2 0.433461,3 147.4113,4 1}
{0 41.14499,1 246.09,2 0.108379,3 177.1325,4 1}
{0 128.5,1 228.51,2 0.156676,3 132.368,4 1}
{0 33.92102,1 145.1801,2 0.174455,3 127.2374,4 1}
{0 30.977,1 36.67,2 0.10261,3 137.257,4 1}
{0 26.2354,1 133.7294,2 -0.136535,3 121.7963,4 1}
{0 23.95599,1 151.776,2 0.096881,3 111.7519,4 1}
{0 56.32007,1 133.6,2 -0.132485,3 138.6194,4 1}
{0 22.9665,1 141.2075,2 0.240339,3 123.4168,4 1}
{0 24.26202,1 191.932,2 -0.346787,3 90.99565,4 1}
{0 38.881,1 63.093,2 -0.26326,3 95.75006,4 1}
{0 31.71802,1 272.956,2 -0.171524,3 95.00847,4 1}
{0 74.86804,1 239.6531,2 0.121202,3 109.8183,4 1}
{0 29.161,1 126.252,2 0.124772,3 120.2966,4 1}
{0 38.26199,1 89.54399,2 -0.191425,3 141.1545,4 1}
{0 35.144,1 161.857,2 0.121867,3 129.4621,4 1}
{0 26.7913,1 113.6098,2 0.166935,3 135.1366,4 1}
{0 34.09201,1 289.385,2 0.287899,3 139.7675,4 1}
{0 106.677,1 355.059,2 -0.173374,3 176.4733,4 1}
{1 113.642,2 0.46211,3 161.7734,4 1}
{0 35.97501,1 108.833,2 0.131007,3 123.8975,4 1}
{0 71.9579,1 83.5419,2 0.341354,3 141.1957,4 1}
{0 57.4885,1 51.5174,2 0.361167,3 72.92012,4 1}
{0 26.23898,1 218.637,2 -0.136326,3 105.6956,4 1}
{0 33.71701,1 149.918,2 -0.13369,3 97.94736,4 1}
{0 20.4347,1 70.7009,2 -0.425632,3 90.40513,4 1}
{0 33.32401,1 241.645,2 0.065629,3 107.3545,4 1}
{0 89.12799,1 338.871,2 -0.104641,3 160.7269,4 1}
{0 25.158,1 93.409,2 0.129262,3 109.3596,4 1}
{0 28.48601,1 172.543,2 0.143169,3 137.5564,4 1}
{0 30.30399,1 198.275,2 0.087929,3 107.3216,4 1}
{0 19.7221,1 60.6184,2 -0.263819,3 122.9389,4 1}
{0 24.789,1 60.4321,2 0.226227,3 145.0877,4 1}
{0 18.0818,1 110.9383,2 0.234586,3 105.5994,4 1}
{0 31.32901,1 127.765,2 -0.145123,3 139.4379,4 1}
{0 39.66599,1 165.803,2 -0.089345,3 107.8352,4 1}
{0 110.658,1 258.821,2 0.079227,3 152.6519,4 1}
{0 33.77499,1 165.231,2 0.088495,3 105.6599,4 1}
{0 30.285,1 270.284,2 0.11517,3 175.6768,4 1}
{0 16.627,1 106.086,2 0.386331,3 138.5754,4 1}
{0 70.633,1 352.721,2 -0.06448,3 154.5773,4 1}
{0 41.263,1 190.351,2 -0.205457,3 106.547,4 1}
{0 101.12,1 198.5499,2 -0.161417,3 153.7203,4 1}
{0 17.27901,1 85.216,2 0.434659,3 94.17899,4 1}
{0 61.82001,1 231.735,2 0.102237,3 132.3131,4 1}
{0 146.49,1 326.9501,2 0.130103,3 155.5029,4 1}
{0 36.40698,1 194.724,2 -0.192754,3 141.2287,4 1}
{0 29.186,1 91.62799,2 0.109442,3 126.883,4 1}
{0 18.5493,1 115.3733,2 0.401481,3 141.8357,4 1}
{0 51.04797,1 212.034,2 -0.161423,3 149.2021,4 1}
{0 23.49001,1 131.078,2 0.246137,3 140.8661,4 1}
{0 55.59497,1 244.493,2 0.183728,3 111.9744,4 1}
{0 26.776,1 83.48401,2 0.09674,3 127.8773,4 1}
{1 84.0782,2 -0.086855,3 129.5802,4 1}
{0 26.734,1 84.198,2 -0.189001,3 111.1888,4 1}
{0 22.3736,1 84.93851,2 -0.217095,3 110.1369,4 1}
{0 20.106,1 116.708,2 0.267261,3 131.4891,4 1}
{0 25.72399,1 127.55,2 0.451967,3 149.4246,4 1}
{0 28.93301,1 149.453,2 0.122958,3 110.2357,4 1}
{0 19.5431,1 78.5592,2 0.370732,3 104.91,4 1}
{0 22.9436,1 107.7595,2 0.268398,3 125.9712,4 1}
{0 28.30701,1 172.686,2 -0.28092,3 139.0835,4 1}
{0 36.36798,1 154.61,2 0.114849,3 95.25292,4 1}
{0 28.879,1 184.347,2 -0.328016,3 90.61112,4 1}
{0 23.33501,1 76.84401,2 -0.280274,3 90.02609,4 1}
{0 42.91602,1 341.609,2 -0.14306,3 156.7306,4 1}
{0 15.669,1 98.492,2 0.412323,3 28.15289,4 1}
{0 29.00201,1 94.75397,2 0.165605,3 122.0957,4 1}
{0 21.7708,1 59.8645,2 0.071822,3 129.2644,4 1}
{0 37.254,1 118.847,2 0.145308,3 150.4573,4 1}
{0 22.1615,1 43.2918,2 0.364314,3 122.2083,4 1}
{0 96.50403,1 326.1591,2 0.14553,3 128.8029,4 1}
{0 22.89901,1 65.64001,2 -0.339154,3 87.43328,4 1}
{0 23.6012,1 86.779,2 0.163164,3 105.8851,4 1}
{0 110.8493,1 92.7343,2 0.138441,3 129.8357,4 1}
{0 128.033,1 438.173,2 -0.168095,3 158.6999,4 1}
{0 85.35303,1 351.128,2 -0.130145,3 123.079,4 1}
{0 31.64799,1 182.328,2 0.068728,3 113.518,4 1}
{0 27.6644,1 133.1509,2 0.180848,3 173.5235,4 1}
{0 36.4598,1 86.62981,2 0.144194,3 110.5544,4 1}
{0 57.76599,1 349.719,2 -0.174515,3 130.4674,4 1}
{0 60.878,1 122.469,2 0.079061,3 155.8846,4 1}
{0 31.1971,1 72.3011,2 -0.152163,3 109.3431,4 1}
{0 30.7791,1 97.78629,2 -0.138472,3 122.6944,4 1}
{0 30.90201,1 302.673,2 0.225917,3 147.3371,4 1}
{0 24.981,1 148.083,2 -0.153013,3 122.8263,4 1}
{0 28.5418,1 74.8788,2 0.156373,3 149.518,4 1}
{0 64.62199,1 55.871,2 0.326992,3 116.8057,4 1}
{0 104.3057,1 73.6497,2 0.413348,3 166.9783,4 1}
{0 24.6969,1 90.6712,2 -0.281721,3 97.00252,4 1}
{0 34.5918,1 151.0658,2 -0.391262,3 168.173,4 1}
{0 27.5134,1 47.7821,2 -0.13805,3 117.0996,4 1}
{0 123.0534,1 62.8214,2 0.3555,3 101.1774,4 1}
{0 112.867,1 398.4,2 0.167823,3 131.9149,4 1}
{0 59.084,1 139.29,2 -0.110186,3 151.2374,4 1}
{0 31.28601,1 226.447,2 0.181914,3 137.5262,4 1}
{0 20.0262,1 105.8781,2 0.252296,3 153.4264,4 1}
{0 78.82007,1 150.3201,2 -0.141561,3 147.7491,4 1}
{0 76.23999,1 192.0801,2 0.08598,3 137.0098,4 1}
{0 23.34451,1 76.4985,2 -0.232912,3 147.2218,4 1}
{0 19.3397,1 114.1269,2 0.288547,3 74.91417,4 1}
{0 17.1385,1 129.3122,2 0.17312,3 57.85763,4 1}
{0 87.43103,1 340.28,2 0.170448,3 138.3145,4 1}
{0 29.98699,1 84.941,2 0.433807,3 167.4946,4 1}
{0 31.4079,1 64.0616,2 -0.11033,3 126.5013,4 1}
{0 30.13602,1 142.798,2 0.067369,3 105.2781,4 1}
{0 24.6748,1 123.3929,2 0.150232,3 122.4198,4 1}
{1 88.7937,2 -0.275588,3 167.7665,4 1}
{0 36.142,1 135.467,2 -0.113973,3 128.9567,4 1}
{0 19.108,1 131.455,2 0.258139,3 122.5159,4 1}
{0 48.3166,1 104.0272,2 -0.145219,3 146.3127,4 1}
{0 29.7621,1 76.6331,2 0.175612,3 105.2534,4 1}
{0 18.81097,1 227.705,2 0.377338,3 144.0879,4 1}
{0 19,1 54.925,2 0.35978,3 160.5594,4 1}
{0 42.13901,1 207.689,2 0.090884,3 126.9929,4 1}
{0 21.936,1 153.652,2 0.178476,3 145.67,4 1}
{0 78.08997,1 296.614,2 0.188223,3 152.6546,4 1}
{0 32.8158,1 44.7278,2 -0.241382,3 124.2573,4 1}
{0 22.19098,1 155.93,2 -0.173415,3 82.04715,4 1}
{0 16.5798,1 46.7507,2 0.426985,3 108.412,4 1}
{0 37.09998,1 279.643,2 0.099181,3 157.7221,4 1}
{0 62.76501,1 276.937,2 -0.168281,3 152.1657,4 1}
{0 21.2808,1 136.7988,2 -0.141408,3 147.469,4 1}
{0 24.05,1 93.03619,2 -0.254498,3 97.54086,4 1}
{0 55.44104,1 197.475,2 0.08792,3 117.3028,4 1}
{0 16.57199,1 208.138,2 -0.143702,3 156.9943,4 1}
{0 17.0363,1 60.9623,2 0.241775,3 87.29321,4 1}
{0 15.22,1 63.942,2 0.26855,3 179.9258,4 1}
{0 25.4765,1 61.0658,2 -0.185585,3 127.4791,4 1}
{0 34.5129,1 83.97689,2 0.249991,3 109.7304,4 1}
{0 33.357,1 175.534,2 -0.112062,3 125.7899,4 1}
{0 55.073,1 353.997,2 -0.077159,3 163.0616,4 1}
{0 66.97998,1 97.47998,2 -0.100517,3 141.0199,4 1}
{0 41.3592,1 63.985,2 0.276535,3 159.697,4 1}
{0 27.2386,1 80.9539,2 -0.208886,3 157.1481,4 1}
{0 21.349,1 70.435,2 0.324851,3 87.56512,4 1}
{0 22.558,1 192.458,2 -0.119358,3 90.78691,4 1}
{0 45.867,1 352.688,2 -0.268668,3 162.6633,4 1}
{0 46.20099,1 69.71999,2 -0.180437,3 108.3076,4 1}
{0 22.2285,1 71.9649,2 0.266769,3 92.69306,4 1}
{0 30.369,1 154.176,2 -0.076855,3 113.7404,4 1}
{0 18.40611,1 71.43171,2 0.46017,3 120.1154,4 1}
{0 34.117,1 86.774,2 0.193371,3 135.4031,4 1}
{0 42.349,1 128.753,2 0.159061,3 145.6617,4 1}
{0 35.298,1 187.857,2 -0.139328,3 100.3259,4 1}
{0 29.93101,1 173.38,2 -0.145079,3 150.6386,4 1}
{0 100.1905,1 52.3955,2 -0.105722,3 130.5663,4 1}
{0 31.771,1 162.014,2 0.271696,3 147.8618,4 1}
{0 59.57899,1 203.141,2 0.072591,3 141.2726,4 1}
{0 22.34302,1 147.334,2 0.169586,3 92.71778,4 1}
{0 51.97998,1 136.5,2 -0.105834,3 136.3671,4 1}
{1 151.555,2 -0.100496,3 132.5026,4 1}
{0 40.995,1 181.999,2 -0.104028,3 154.6239,4 1}
{0 31.632,1 191.702,2 0.147282,3 142.5827,4 1}
{0 27.4298,1 155.7345,2 -0.052134,3 134.5928,4 1}
{0 81.41992,1 60.12,2 0.154859,3 126.4326,4 1}
{0 33.36499,1 182.295,2 -0.136385,3 98.23849,4 1}
{0 77.56702,1 325.814,2 0.192915,3 154.4207,4 1}
{0 39.44696,1 165.199,2 -0.08702,3 121.2964,4 1}
{0 93.50995,1 269.04,2 -0.114745,3 119.4891,4 1}
{0 44.04202,1 253.626,2 -0.070999,3 124.488,4 1}
{0 33.4008,1 101.7778,2 -0.155956,3 115.7977,4 1}
{0 20.7571,1 84.0116,2 -0.177071,3 157.3019,4 1}
{0 23.8247,1 91.56529,2 -0.135749,3 119.1431,4 1}
{0 17.6374,1 103.6401,2 -0.313038,3 100.032,4 1}
{1 117.785,2 0.309046,3 102.938,4 1}
{0 21.2914,1 39.9268,2 0.14624,3 114.8666,4 1}
{0 27.7191,1 92.92811,2 -0.1707,3 129.594,4 1}
{0 26.51901,1 222.162,2 0.278863,3 112.3836,4 1}
{0 25.3845,1 109.9575,2 -0.308733,3 104.6354,4 1}
{0 26.4346,1 51.6626,2 -0.211255,3 104.4733,4 1}
{0 20.035,1 54.01801,2 0.439217,3 92.46784,4 1}
{0 26.6357,1 84.1707,2 -0.269913,3 135.5459,4 1}
{0 34.019,1 119.505,2 -0.17237,3 153.8082,4 1}
{0 39.34399,1 155.325,2 0.322738,3 138.9682,4 1}
{0 28.95099,1 173.435,2 0.181174,3 94.90685,4 1}
{0 26.339,1 103.302,2 -0.221273,3 89.38613,4 1}
{0 103.971,1 249.5801,2 -0.156939,3 147.2657,4 1}
{0 19.3139,1 38.5414,2 0.248835,3 74.09567,4 1}
{0 81.67303,1 349.909,2 0.156357,3 135.7656,4 1}
{0 26.2929,1 69.9843,2 -0.227149,3 149.886,4 1}
{0 26.286,1 89.90301,2 0.176544,3 103.4131,4 1}
{0 23.6461,1 64.4231,2 0.177008,3 128.8524,4 1}
{0 20.9143,1 88.8185,2 0.142205,3 102.8556,4 1}
{0 36.17297,1 216.516,2 0.124456,3 138.1772,4 1}
{0 23.1604,1 91.5765,2 -0.082383,3 126.4079,4 1}
{0 49.5756,1 62.3974,2 0.073048,3 124.5649,4 1}
{0 30.07697,1 184.132,2 0.208734,3 93.33303,4 1}
{0 20.91301,1 114.213,2 0.238077,3 133.9666,4 1}
{0 26.85201,1 80.25101,2 -0.232038,3 92.02563,4 1}
{0 26.2015,1 85.1022,2 -0.193112,3 125.3779,4 1}
{0 27.496,1 254.115,2 0.288101,3 145.7853,4 1}
{0 31.40099,1 156.106,2 -0.186054,3 166.797,4 1}
{0 20.2011,1 105.848,2 -0.223585,3 156.0275,4 1}
{0 38.37802,1 173.572,2 -0.152939,3 98.05722,4 1}
{0 52.54004,1 397.888,2 0.244509,3 179.9561,4 1}
{0 29.36099,1 119.626,2 0.363361,3 155.0964,4 1}
{0 59.38,1 177.4701,2 -0.133559,3 141.2122,4 1}
{0 42.83398,1 191.608,2 0.108453,3 130.6789,4 1}
{0 18.7207,1 58.183,2 -0.34389,3 168.8927,4 1}
{0 30.207,1 141.567,2 -0.195974,3 154.8959,4 1}
{0 46.97998,1 181.2899,2 0.189501,3 112.2106,4 1}
{0 25.2,1 147.637,2 0.200935,3 115.3857,4 1}
{0 29.414,1 123.76,2 0.230486,3 165.0501,4 1}
{0 132.868,1 501.298,2 -0.138164,3 165.8439,4 1}
{0 62.42603,1 217.892,2 -0.16868,3 147.9222,4 1}
{0 44.431,1 187.808,2 0.187693,3 107.2172,4 1}
{0 40.96999,1 218.609,2 0.127647,3 109.6095,4 1}
{0 24.4496,1 112.0448,2 -0.394568,3 169.5189,4 1}
{0 128.1899,1 213.76,2 0.103767,3 145.4996,4 1}
{0 25.2038,1 70.6044,2 0.433979,3 153.5418,4 1}
{0 28.48999,1 128.184,2 -0.176371,3 162.5425,4 1}
{0 111.587,1 288.303,2 -0.130616,3 164.8771,4 1}
{1 125.367,2 0.360936,3 156.4916,4 1}
{0 41.96201,1 181.276,2 -0.143853,3 98.59281,4 1}
{0 33.53111,1 95.2851,2 -0.077338,3 132.2307,4 1}
{0 66.774,1 166.65,2 -0.064379,3 167.7281,4 1}
{0 28.98203,1 163.228,2 0.204834,3 120.6345,4 1}
{1 91.8311,2 0.227592,3 152.4349,4 1}
{0 27.66101,1 113.793,2 0.106846,3 112.6885,4 1}
{0 23.8798,1 121.2746,2 0.290394,3 155.7253,4 1}
{0 29.77,1 180.69,2 0.103748,3 121.9748,4 1}
{0 45.15701,1 158.861,2 0.098408,3 151.1192,4 1}
{0 21.6137,1 57.2939,2 0.144952,3 118.1021,4 1}
{0 25.8227,1 65.9156,2 -0.369628,3 117.0227,4 1}
{0 24.3655,1 45.9655,2 0.256779,3 112.466,4 1}
{0 38.36902,1 259.637,2 0.200085,3 137.9437,4 1}
{0 44.201,1 214.818,2 -0.188803,3 171.5569,4 1}
{0 46.08499,1 321.849,2 -0.176224,3 155.8709,4 1}
{0 22.349,1 170.707,2 0.227616,3 125.8009,4 1}
{0 105.306,1 351.917,2 -0.136844,3 151.4433,4 1}
{0 16.925,1 73.5794,2 0.233457,3 62.85374,4 1}
{0 122.856,1 207.746,2 -0.17221,3 139.2236,4 1}
{0 33.31104,1 284.244,2 -0.121447,3 93.13527,4 1}
{0 180.809,1 67.384,2 -0.252144,3 63.20806,4 1}
{0 17.8583,1 82.03901,2 0.537236,3 151.9377,4 1}
{0 25.10699,1 173.141,2 0.203395,3 117.594,4 1}
{0 138.888,1 185.681,2 -0.162878,3 131.8737,4 1}
{0 25.707,1 68.537,2 -0.184649,3 141.7533,4 1}
{0 156,1 281.8201,2 -0.175888,3 151.3967,4 1}
{0 34.30301,1 206.783,2 -0.103466,3 134.9252,4 1}
{0 34.32605,1 171.247,2 0.075006,3 118.6047,4 1}
{0 22.60699,1 117.62,2 0.209488,3 122.9361,4 1}
{0 25.369,1 142.166,2 0.11085,3 110.8071,4 1}
{0 49.146,1 251.549,2 0.075816,3 118.6706,4 1}
{0 46.70801,1 191.365,2 -0.145188,3 135.2575,4 1}
{0 49.8774,1 67.3114,2 -0.257821,3 167.0222,4 1}
{0 71.73199,1 346.349,2 0.157748,3 161.0181,4 1}
{0 76.89197,1 296.744,2 0.11198,3 163.3939,4 1}
{0 23.8097,1 91.16711,2 0.151407,3 141.1078,4 1}
{0 37.61899,1 132.101,2 0.217648,3 136.1089,4 1}
{0 45.092,1 117.084,2 0.099348,3 146.5296,4 1}
{0 109.99,1 190.29,2 -0.169327,3 138.1112,4 1}
{0 38.28198,1 242.887,2 -0.120877,3 97.63699,4 1}
{0 30.7987,1 165.7957,2 -0.103506,3 149.5949,4 1}
{0 106.29,1 167.17,2 -0.134641,3 145.0135,4 1}
{0 52.30695,1 293.0349,2 0.13381,3 113.051,4 1}
{0 23.7308,1 53.6121,2 0.305395,3 94.75029,4 1}
{0 19.9739,1 57.0782,2 -0.4756,3 171.5816,4 1}
{0 27.76599,1 152.465,2 0.229367,3 129.127,4 1}
{0 29.9562,1 64.4042,2 0.254304,3 124.2051,4 1}
{0 74.909,1 208.183,2 0.220517,3 143.6786,4 1}
{0 24.91002,1 131.839,2 -0.238579,3 87.65301,4 1}
{0 19.4246,1 35.9836,2 0.3697,3 157.4008,4 1}
{0 106.74,1 398.08,2 -0.138049,3 156.9558,4 1}
{0 29.821,1 123.15,2 0.184476,3 123.6283,4 1}
{0 97.68903,1 360.95,2 0.155558,3 132.8789,4 1}
{0 17.112,1 109.585,2 0.271689,3 54.95171,4 1}
{0 26.11902,1 197.747,2 0.090895,3 99.59808,4 1}
{0 32.4713,1 131.9413,2 0.258264,3 176.1904,4 1}
{0 22.33301,1 221.761,2 0.163702,3 82.83543,4 1}
{0 36.72705,1 71.56702,2 -0.090362,3 114.2074,4 1}
{0 53.828,1 81.07201,2 0.165449,3 161.9849,4 1}
{0 21.3402,1 37.4932,2 -0.10226,3 116.932,4 1}
{0 16.29401,1 177.313,2 0.398303,3 143.7693,4 1}
{0 21.6376,1 69.6488,2 -0.383618,3 105.745,4 1}
{1 100.8187,2 0.221458,3 86.0737,4 1}
{0 18.1492,1 68.18719,2 0.195566,3 82.78325,4 1}
{0 27.6956,1 174.1608,2 -0.226546,3 97.09865,4 1}
{0 30.553,1 95.008,2 0.119091,3 140.8991,4 1}
{0 52.54599,1 246.736,2 -0.131188,3 165.3111,4 1}
{0 99.508,1 338.628,2 -0.16046,3 174.1003,4 1}
{0 18.7806,1 100.6169,2 0.402637,3 112.5072,4 1}
{0 27.41899,1 133.275,2 -0.302504,3 124.8148,4 1}
{0 43.577,1 128.614,2 0.132959,3 124.2023,4 1}
{0 30.6249,1 59.755,2 -0.188031,3 114.8363,4 1}
{0 43.60199,1 180.443,2 0.169585,3 158.3978,4 1}
{0 42.515,1 159.519,2 -0.210695,3 171.0707,4 1}
{0 23.6516,1 53.1584,2 -0.155062,3 122.7164,4 1}
{0 42.83899,1 276.185,2 -0.11995,3 101.4301,4 1}
{0 16.62399,1 113.21,2 0.344045,3 41.42733,4 1}
{0 23.9673,1 90.63139,2 -0.142002,3 150.2925,4 1}
{0 21.85901,1 172.168,2 0.054332,3 99.69421,4 1}
{0 33.95999,1 88.384,2 0.146067,3 103.5532,4 1}
{0 70.37,1 290.05,2 0.125624,3 149.2158,4 1}
{0 28.914,1 270.675,2 0.218338,3 164.2701,4 1}
{0 23.4067,1 65.02029,2 0.224996,3 117.1984,4 1}
{0 26.965,1 102.892,2 0.127269,3 116.119,4 1}
{0 52.04999,1 201.312,2 0.295028,3 163.0478,4 1}
{0 23.2174,1 84.5849,2 -0.137346,3 144.1016,4 1}
{0 101.461,1 294.658,2 0.252975,3 140.921,4 1}
{0 26.306,1 172.93,2 0.092625,3 111.7903,4 1}
{0 25.3226,1 75.67661,2 -0.16334,3 113.8201,4 1}
{0 40.61801,1 94.908,2 -0.125554,3 148.9329,4 1}
{0 16.35004,1 179.963,2 0.125539,3 123.6283,4 1}
{0 26.33002,1 232.039,2 0.124158,3 142.7036,4 1}
{0 63.40204,1 276.716,2 0.090331,3 133.8457,4 1}
{0 59.42139,1 146.9474,2 0.114486,3 141.6873,4 1}
{0 121.61,1 204.5499,2 -0.151887,3 148.0842,4 1}
{0 19.45401,1 94.00101,2 0.139268,3 154.7228,4 1}
{0 24.50702,1 115.348,2 0.359634,3 144.6922,4 1}
{0 18.41299,1 178.501,2 0.256525,3 97.83749,4 1}
{0 145.332,1 414.1619,2 0.15627,3 155.8956,4 1}
{0 17.2788,1 57.273,2 0.440619,3 84.5658,4 1}
{0 99.70996,1 233.0701,2 0.152206,3 146.5901,4 1}
{0 34.888,1 125.068,2 0.188818,3 138.4436,4 1}
{0 34.37097,1 194.474,2 -0.04835,3 99.66949,4 1}
{0 45.52795,1 95.409,2 -0.284616,3 134.7027,4 1}
{0 48.25601,1 189.859,2 -0.091977,3 122.3923,4 1}
{0 38.20299,1 223.28,2 0.20737,3 167.1952,4 1}
{0 20.72,1 204.158,2 0.157454,3 107.1513,4 1}
